"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Epcam",0.408489415580451,-0.162032336678063,0.04,0.047,1
"Leng9",0.408624750015223,-0.27584394486059,0.028,0.034,1
"Cdc25a",0.408744934701056,-0.258416873102406,0.03,0.037,1
"Cyb561a3",0.40879042497846,0.209375105965822,0.112,0.102,1
"Ptov1",0.408814784048054,0.123750643617096,0.079,0.07,1
"Utp3",0.409062249407587,0.162569892507624,0.185,0.174,1
"Dhx32",0.40907908899319,0.243968314372409,0.054,0.047,1
"Dlst",0.409208735376471,-0.129191507460805,0.322,0.331,1
"Vsig10",0.409231096491071,0.352540836151695,0.035,0.029,1
"Eno3",0.409535907580537,-0.149759809582943,0.062,0.07,1
"Chml",0.409662366298152,-0.284889084463597,0.025,0.03,1
"Kbtbd8",0.409801933750799,-0.371045728213311,0.012,0.016,1
"Poglut3",0.409801933750799,-0.371045728213311,0.012,0.016,1
"Mylpf",0.410136384606192,-0.189469519384915,0.021,0.026,1
"Ss18l1",0.410400996143833,-0.231449825502136,0.03,0.037,1
"Spryd3",0.410837403810849,0.144254182121978,0.161,0.149,1
"Utp11",0.410897624173063,0.147221928174188,0.225,0.212,1
"Pdxdc1",0.410950594167506,0.243489887891192,0.043,0.037,1
"Wrnip1",0.411007736307079,0.120400438263685,0.201,0.188,1
"Prkd3",0.41141653396913,0.107428338315164,0.058,0.05,1
"Minpp1",0.411969897006231,-0.123667460989168,0.137,0.149,1
"Map2",0.412019159740857,-0.164594850745885,0.025,0.03,1
"Ldah",0.412232704848964,-0.156043712005799,0.093,0.103,1
"Mlh3",0.412256120999184,-0.114964083021285,0.021,0.026,1
"Mycbp2",0.412525567378686,-0.106448431089245,0.371,0.383,1
"Slc25a36",0.412542461133002,-0.200000186877084,0.25,0.26,1
"Il23r",0.412939623787316,0.31121397386276,0.027,0.022,1
"Plod3",0.412956652511833,0.211068410198815,0.061,0.053,1
"Bdh1",0.412956652511833,0.211068410198815,0.061,0.053,1
"Rprd1a",0.413034347370323,0.31962621367896,0.046,0.039,1
"Cenpi",0.413243045436819,-0.102512341975028,0.026,0.032,1
"Pitpnm2",0.413286723764581,-0.105339664132884,0.209,0.222,1
"Foxk2",0.413441685047052,-0.178467025327443,0.123,0.133,1
"Psmb5",0.413466590307299,0.18106824599684,0.311,0.302,1
"Pkp4",0.413598129445923,0.132847564416202,0.16,0.148,1
"Eml3",0.413856080027027,0.149229156380952,0.123,0.112,1
"Pin1",0.413955542843357,0.150186168051792,0.107,0.097,1
"Arhgap35",0.414256336193479,0.148295761525506,0.11,0.1,1
"Hacd2",0.414315449231157,0.213916772507845,0.071,0.062,1
"Dpp9",0.4144796137526,-0.111617374264895,0.182,0.194,1
"Fbxo42",0.414833341753404,0.105345023814674,0.15,0.138,1
"Itk",0.414877915694952,-0.10170518564648,0.83,0.821,1
"Ncoa6",0.41500328160987,0.12678418078187,0.218,0.205,1
"Dnajc3",0.415057154790227,-0.10605572417599,0.315,0.329,1
"Timeless",0.415221292785205,0.322015969138237,0.046,0.039,1
"Rbck1",0.415292846956182,-0.146091529817814,0.248,0.26,1
"Atxn1",0.415367570170544,0.131654621711296,0.383,0.369,1
"Trim33",0.415386053749759,0.180774487885214,0.176,0.164,1
"Zfp984",0.415605118826054,0.171968590509874,0.078,0.069,1
"Ttc17",0.415645643208063,-0.111002873120097,0.136,0.148,1
"Svbp",0.416095732059732,0.126306348520853,0.072,0.063,1
"Fam50a",0.416360005493041,-0.132885991018547,0.184,0.197,1
"Snapc3",0.416484462100519,0.137440907381603,0.11,0.1,1
"Btbd6",0.416511162380172,-0.141298230834747,0.051,0.059,1
"Prkci",0.416740069752671,-0.21088850301982,0.056,0.064,1
"Apoe",0.416838271825878,-0.175954712910433,0.043,0.05,1
"Itga1",0.417026749438396,0.506524293724985,0.023,0.018,1
"Rnf128",0.417149159496167,0.217611256065586,0.031,0.026,1
"Cdk9",0.417185298595357,0.103676203454056,0.341,0.328,1
"Tgtp1",0.417284618589224,-0.143302606963885,0.071,0.08,1
"Pcyt2",0.417325012521686,-0.132885991018547,0.084,0.094,1
"Cchcr1",0.417381047829901,0.211068410198815,0.031,0.026,1
"Ptpn11",0.417601383582883,-0.122277891452566,0.289,0.301,1
"Slc25a10",0.418211505828706,0.202098256694262,0.035,0.029,1
"Cdc14a",0.418277252724455,0.119177296994244,0.201,0.189,1
"Rhbdd2",0.418303069452174,0.212249495030141,0.083,0.075,1
"Farsa",0.418525522662431,-0.109234722953901,0.137,0.149,1
"Nelfa",0.418550699141377,0.151995117113496,0.151,0.14,1
"Aurkb",0.418847192165046,0.279239912840394,0.046,0.039,1
"Dctd",0.418889937306177,0.644721587645005,0.013,0.009,1
"G6pdx",0.419103517306324,-0.175954712910433,0.074,0.082,1
"Flad1",0.419614766264996,0.211068410198815,0.089,0.08,1
"Ndufaf2",0.419766685992198,-0.116944447149526,0.079,0.089,1
"Dis3",0.419896263144895,0.199689348068324,0.064,0.056,1
"Fam118b",0.419940608458836,-0.189469519384915,0.045,0.052,1
"Dtx3",0.420097082753845,-0.188952053439306,0.244,0.254,1
"Hpgds",0.420136594666932,0.452076509702609,0.013,0.009,1
"Tbc1d32",0.420136594666932,0.452076509702609,0.013,0.009,1
"Hat1",0.420318384538235,-0.163582788241463,0.282,0.291,1
"Gpx2",0.420572978919602,0.336599292282673,0.023,0.018,1
"Bmyc",0.421036596179543,0.124869183322401,0.286,0.27,1
"Arhgap31",0.421168176833678,-0.190662322297748,0.312,0.32,1
"Golgb1",0.421207686539274,0.191616047532642,0.158,0.147,1
"Tspan5",0.421216673130628,0.18634295426786,0.077,0.068,1
"Cdyl2",0.421332121818808,-0.108223936784277,0.051,0.059,1
"Eri1",0.421464800482287,0.141736389090458,0.193,0.181,1
"Rfx5",0.421508284555983,0.132035524359512,0.132,0.121,1
"Tspan2",0.421702323557913,-0.248363208438483,0.014,0.018,1
