"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ank",0.049626840513826,-0.457324679927258,0.139,0.172,1
"Synpo",0.0498300079006051,-0.762179261455679,0.021,0.037,1
"Sfmbt2",0.049832407592554,-0.805247983347565,0.029,0.047,1
"Vamp7",0.0498844566944697,-0.417060809713531,0.133,0.166,1
"Dync1li1",0.0500486646997021,-0.15776439806835,0.32,0.369,1
"Brd8",0.0500858382376646,-0.237805581669426,0.241,0.283,1
"Slc41a1",0.050130674986817,-0.305321586482208,0.162,0.199,1
"Samd8",0.0503495997126066,-0.378469259216018,0.116,0.147,1
"Dalrd3",0.050464616928242,-0.430852468566067,0.072,0.098,1
"Cnot1",0.050473997277343,-0.203818765920365,0.36,0.401,1
"Copb1",0.0504960652790488,-0.221480459122202,0.451,0.483,1
"Golm1",0.050512329339011,-0.567378225392172,0.103,0.132,1
"Fhip1a",0.0505337219369776,-1.15776439806835,0.01,0.022,1
"Phgdh",0.050776570702332,0.356808774761408,0.105,0.077,1
"Icam1",0.0508012181958126,0.113832021268868,0.431,0.375,1
"Rapgef2",0.0508168182207635,0.347946927629857,0.195,0.16,1
"Clcn5",0.0508757040280867,0.37275031863043,0.095,0.069,1
